source,division,unit,department,job_title,job_grade,job_category,job_objective,responsibilities,num_responsibilities
JD,Retail & Branch Banking,,District,IFB Customer Relationship Manager,12.0,Experienced Professional: EP,"To attend Affluent Retail customers request at the branch, promote CBEs products and service, recruit new potential Affluent Retail customers so as to achieve organizational vision and strategic objectives.","['Strengthen relationship with IFB wholesale and Affluent Retail Customers', 'Maintain and managed IFB wholesale and Affluent Retail Customers profiling and portfolio', 'Serve as single point of contract for IFB wholesale and affluent Retail customers', 'Provide assistance for IFB wholesale and Retail Affluent customers in using products and services', 'Selling of products and services to IFB wholesale and Retail Affluent Customers.', 'Handle the IFB wholesale and Affluent Retail customers request', 'Process all IFB wholesale and Affluent Retail customers requests', 'Facilitate the provision of efficient and high quality service to IFB wholesale and Affluent Retail customers', 'Enhance the Banks image through pro-active customer driven servicing of their needs to maximize customer satisfaction', 'Ensure the fulfillment of overall tasks that have given to execute customer-focused service in the process', 'Ensures the needs of key customer are met without compromising business efficiency', 'Adheres strictly to compliance and operational risk controls in accordance with the Banks and regulatory standards, policies and practices', 'Performs the tasks within the agreed standards delivery time', 'Participates in resource mobilization initiatives of the Branch', 'Receives any IFB wholesale and Affluent Retail customers applications, verifies signature, conducts preliminary checking of applications and supporting documents against check list, and forwards to the concerned banks organ for processing', 'Provides information and advises to customers', 'Promotes CBE products and services to IFB wholesale and Affluent Retail customers', 'Recruits new IFB wholesale and Affluent Retail customers', 'Identifies customers needs and forwards any new product ideas to Product owners,', 'Perform other assigned duties.']",20
JD,Retail & Branch Banking,Branch,District,Digital Channel Officer,10.0,Professional: P,"To support branches in digital channel product sales and onsite training (Card Banking, Mobile Banking, Internet Banking , CBE Birr agent , merchant POS and CBE Birr merchant) and increase digital channel transaction so as to achieve the Banks vision and strategic objectives.","['Performs digital channels products sales', 'Monitors, evaluates and reports Digital channel performance', 'Handles customer queries and complaints', 'Enhance the Banks image through pro-active handle customers and maximizes their satisfaction', 'Complies with regulatory standards, Banks policies, procedure, code of conduct and practices', 'Performs each tasks with the Banks standards and timescales', 'Adheres strictly to compliance and operational risk controls in accordance with the Banks standards', 'Promotes new and existing digital channel products', 'Develop action plans and techniques in collaboration with Manager Customer Service- Sales for achieving digital channels sales targets', 'Maintains relationship with customers to use digital channels products and services', 'Promotes effective selling of digital channels products and services throughout all levels in the branch', 'Proposes and manages digital channels sales campaign at the branch level with Branch Business teams', 'Identifies and recruits potential customers for digital channels', 'Manages the relationship with merchants and agents', 'Monitors daily operations of digital Channels and identify improvement areas to ensure delivery of quality service to customers', 'Conducts regular follow up on the performance of PoS and ATMs', 'Conducts regular follow up on the performance of Agent Banking (i.e. CBE birr customers, merchant and agents)', 'Proposes potential business site for deployment of PoS and ATM', 'Perform other assigned duties.']",19
JD,Retail & Branch Banking,Branch,District,Junior Officer II,8.0,,"To sale Bank products and services, attend customers request and provides efficient and high quality service to customers as per the Banks policy, procedure, guideline and other pertinent regulation within predetermine risk appetite of the Bank so as to achieve organizational vision and strategic objectives.",[],0
JD,Retail & Branch Banking,Branch,District,Junior Officer I,7.0,Junior Level: Junior Level,"To sale Bank products and services, attend customers request and provides efficient and high quality service to customers as per the Banks policy, procedure, guideline and other pertinent regulation within predetermine risk appetite of the Bank so as to achieve organizational vision and strategic objectives.",[],0
JD,Retail & Branch Banking,Branch,District,Bank Trainee,,Junior Level: JL,"To learn the overall Banking operation activities, procedure, organizational culture and practice of the Bank so as to become professional Banker.",[],0
JD,Retail & Branch Banking,Branch,District,Branch Operation Manager,13.0,Operative Level Management: OLM,"To ensure the branch cash management, reconcile book of accounts, transaction checking and authorization and archiving documents of the branch as per the Banks policy, procedure, guideline and other pertinent regulation so as to achieve Banks vision and strategic objectives.","['Manages the branch cash Operation', 'Manages the reconciliation of book of accounts', 'Ensures customer queries and complaints are properly handled', 'Facilitates efficient and high quality service to customers', 'Manages and maintain positive relationship with customer and staff', 'Promotes new and existing Banks products, service and alternative channels to the customers', 'Enhances the Banks image through pro-active handle customers and maximizes their satisfaction', 'Ensures all performers comply with regulatory standards, Banks policies, procedure, code of conduct and practices', 'Ensures the fulfillment of overall tasks that have given to execute customer-focused service in the process', 'Adheres strictly to compliance and operational risk controls in accordance with the Banks and regulatory standards, policies and practices', 'Ensures tasks are completed to the agreed standards within the agreed timescales', 'Countersigns on documents and transaction tickets and approve payments', 'Supervises the operation activities (i.e. general ledger management, cash operations and archiving, and logistics) in the Branch', 'Coordinates and develops annual/quarter/monthly operational plan of the branch', 'Ensures all books of accounts are balanced against GL', 'Ensures reconciliation of ATM and POS transaction', 'Monitors service levels against customer expectations', 'Follow ups timely settlement of suspense accounts', 'Handles cash vault dually and keeps confidentially the combination code of the branch vault and ATM', 'Prepares and implement periodic job rotation plan for the Branch Operation team', 'Approves payment of general expense items', 'Ensures that sufficient stock of forms and stationary materials are maintained', 'Review and consolidate Branch budgets', 'Ensures rectification of discrepancies reported by Manager Internal control or Internal auditors', 'Creates conducive work environment', 'Authorizes transactions', 'Handles petty cash', 'Analyzes the genuineness of expenses incurred by the branch', 'Examines cash excess and cash shortage', 'Ensures reconciliation, settlement of suspense accounts and produce periodic report of accounts balance', 'Overviews and checks all cash processes are properly executed and ensures compliance with all internal controls, standards and limits', 'Counter signs the daily cash book', 'Ensures cash operation, balance at the half day and end of day', 'Follows up regularly the cash holding limit of the branch', 'Ensures the correctness of end of day cash closing operation', 'Identifies areas of operational risk and prepare annual operational risk assessment report of the Branch Operation team', 'Ensures clearance of negotiable instruments', 'Perform other assigned duties.']",38
JD,Retail & Branch Banking,Branch,,Senior Branch Banking Officer,11.0,Experienced Professional: EP,"To authorize transaction in line with the Bank's risk appetite without compromising the customer satisfaction, manage branch cash movement, handles customers request and provides efficient and high quality service, reconcile book of accounts, checks and control transaction and archiving documents of the branch as per the Banks policy, procedure, guideline and other pertinent regulation so as to achieve organizational vision and strategic objectives","['Adheres strictly to compliance and operational risk controls in accordance with the Banks standards', 'Approves transactions on inactive saving accounts and withdrawal without passbook as required', 'Checks account opening and cross selling of alternative channels and services', 'Checks all Branch Banking Officers cash holding limit at all time', 'Checks and authorizes all transactions as per the limit accurately and efficiently', 'Checks and confirms scanned signatures and documents', 'Checks availability of sufficient cash in all ATMs at all times', 'Complies with regulatory standards, Banks policies, procedure, code of conduct and practices', 'Enhance the Banks image through pro-active handle customers and maximizes their satisfaction', 'Ensures all adjustment transaction are properly posted', 'Ensures cash counted and sorted on the cash table is properly verified and arranged in bundles and bricks', 'Keeps dual control of vault key and ATM machine', 'Keeps wallet cards, coins bags and Muday box key under his/her custodies', 'Maintains insufficient cheque book record as per NBEs directive', 'Maintains the branch cash position as per the approved cash holding limit at all time', 'Follows up the branch cash movement', 'Participates in the resource mobilization activities', 'Performs balancing of all books of accounts against General Ledger on daily basis', 'Performs half day and end of day cash operation balance, record daily movement of cash on cash book and reports any cash difference on the same date', 'Reconciles the branch book of account, reconciles ATM, PoS and CBE Birr transaction on daily basis', 'Keeps reconciliation documents for further reference', 'Verifies cash in Branch Banking Officer boxes against amount stated in daily cash closing sheet and recorded on the system', 'Follow ups the clearance of negotiable instruments and timely settlement', 'Discharges all duties and responsibilities as indicated in the branch banking procedure', 'Perform other assigned duties.']",25
JD,Retail & Branch Banking,Branch,District,Branch Banking Officer,9.0,Professional: P,"To promote Bank products and services, attend customers request and provides efficient and high quality service to customers, checks and control transaction and archiving documents of the branch as per the Banks policy, procedure, guideline and other pertinent regulation so as to achieve organizational vision and strategic objectives.",[],0
JD,Retail & Branch Banking,Branch,District,Junior Officer II,8.0,,"To promote Bank products and services, attend customers request and provides efficient and high quality service to customers as per the Banks policy, procedure, guideline and other pertinent regulation within predetermine risk appetite of the Bank so as to achieve organizational vision and strategic objectives.","['Provides efficient and high quality service', 'Promotes and cross sell Banking product, service and alternative channels', 'Attends customer queries and complaints', 'Attends customer at front properly with due respect', 'Ensures all adjustment transaction are properly posted', 'Processes cash and non- cash transactions', 'Maintains cash holding position at all time', ""Promotes and cross sell the Bank's products, service and alternative channels to the customers"", 'Discharge all duties and responsibilities as dictated in the branch Banking procedure', 'Maintains positive relationship with customer and staff', 'Enhances the Banks image through pro-active handle customers and maximizes their satisfaction', 'Signs on document and transaction tickets', 'Complies with regulatory standards, Banks policies, procedure, code of conduct and practices', 'Performs each tasks with the Banks standards and timescales', 'Adheres strictly to compliance and operational risk controls in accordance with the Banks standards', 'Provide professional advise; Participates in the resource mobilization activities', 'Attends customer at the back properly with due respect', 'Performs balancing of daily non cash tickets against the respective accounts', 'Identifies, verifies and scans customers and authorized staff signatures', 'Perform other assigned duties.']",20
JD,Retail & Branch Banking,Branch,District,Junior Officer I,7.0,,"To promote Bank products and services, attend customers request and provides efficient and high quality service to customers as per the Banks policy, procedure, guideline and other pertinent regulation within predetermine risk appetite of the Bank so as to achieve organizational vision and strategic objectives.","['Provides efficient and high quality service', 'Promotes and cross sell Banking product, service and alternative channels', 'Attends customer queries and complaints', 'Attends customer at front properly with due respect', 'Ensures all adjustment transaction are properly posted', 'Processes cash and non- cash transactions', 'Maintains cash holding position at all time', ""Promotes and cross sell the Bank's products, service and alternative channels to the customers"", 'Discharge all duties and responsibilities as dictated in the branch Banking procedure', 'Maintains positive relationship with customer and staff', 'Enhances the Banks image through pro-active handle customers and maximizes their satisfaction', 'Signs on document and transaction tickets', 'Complies with regulatory standards, Banks policies, procedure, code of conduct and practices', 'Performs each tasks with the Banks standards and timescales', 'Adheres strictly to compliance and operational risk controls in accordance with the Banks standards', 'Provide professional advise; Participates in the resource mobilization activities', 'Attends customer at the back properly with due respect', 'Performs balancing of daily non cash tickets against the respective accounts', 'Identifies, verifies and scans customers and authorized staff signatures', 'Perform other assigned duties.']",20
JD,Retail & Branch Banking,Branch,District,Branch Control Manager,13.0,Operative Level Management: OLM,"To ensure efficient and effective internal control system in the branch through regularly checks and monitors financial and non-financial transactions that comply with appropriate laws, and regulations, at branches and also Promotes internal Control Self-Assessment in the branch so as to achieve organizational vision and strategic objectives.","['Ensures compliance with appropriate laws, regulations, ethical norms and contracts at branches', 'Promotes and champions Internal Control Self-Assessment in the branch', 'Ensures efficient internal control management system in the branch', 'Manages and maintains positive relationship with customer and among staff:', 'Enhances the Banks image through continuous pro-active improvement:', 'Identifies the bottleneck and proposes solution that hinder branch from achieving its Objective', 'Proposes solution for the branch to provide efficient and high quality services to customers', 'Identifies and reports the reason for tasks not completed as per the standard timescales', 'Checks and monitors key financial and Non-financial transactions before/after effecting payments', 'Ensures the relevance, reliability, and credibility of all branch level financial and operating information', 'Performs daily ticket filing (source document)', 'Conducts surprise check on Officers cash box at any time', 'Ensures safeguarding of the Banks assets/resources', 'Assesses the Branch operations, transactions and work practices and report any deviation to district Internal control manager', 'Acts as a focal point for detection and Identification of risk exposures and use of effective mitigation strategies in branches', 'Ensures branch specific operational objectives are reasonably met', 'Promotes awareness on the internal control culture in the branch', 'Prepares daily/Weekly/Monthly/Quarterly report on major findings as case may be and submit report to the District control manager', 'Ensures the timely rectification of discrepancies as per the agreed action plan', 'Reviews monthly internal control self-assessment report by Business Managers and Operation Manager', ""Ensures the Branch Manager and the District Manager take appropriate remedial action on customers' complaints"", 'Ensures service levels are properly measured against customer expectation and Bank standard', 'Guides and supports to strengthen the internal control system in the branch', 'Ensures proper custody of all branch documents and archives key', 'Perform other assigned duties.']",25
JD,Retail & Branch Banking,Branch,District,Branch Controller,10.0,Professional: P,"To ensure efficient and effective internal control system in the branch through regularly checks and monitors financial and non-financial transactions compliance against the appropriate laws, and regulations, at branches so as to achieve the Banks vision and strategic objectives.",[],0
